Title                                                                                                                                                                   , Authors                                                                                                                                                                           , Published           , Summary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , Link
Stablecoin Runs and Disclosure Policy in the Presence of Large Sales                                                                                                    , Brian Zhu                                                                                                                                                                         , 2024-07-23T19:37:02Z, "Stablecoins have historically depegged due from par to large sales, possibly of speculative nature, or poor reserve asset quality. Using a global game which addresses both concerns, we show that the selling pressure on stablecoin holders increases in the presence of a large sale. While precise public knowledge reduces (increases) the probability of a run when fundamentals are strong (weak), interestingly, more precise private signals increase (reduce) the probability of a run when fundamentals are strong (weak), potentially explaining the stability of opaque stablecoins. The total run probability can be decomposed into components representing risks from large sales and poor collateral. By analyzing how these risk components vary with respect to information uncertainty and fundamentals, we can split the fundamental space into regions based on the type of risk a stablecoin issuer is more prone to. We suggest testable implications and connect our model's implications to real-world applications, including depegging events and the no-questions-asked property of money."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , http://arxiv.org/abs/2408.07227v1
A Classification Framework for Stablecoin Designs                                                                                                                       , "Amani Moin, Emin Gün Sirer, Kevin Sekniqi"                                                                                                                                       , 2019-09-18T15:29:06Z, "Stablecoins promise to bridge fiat currencies with the world of cryptocurrencies. They provide a way for users to take advantage of the benefits of digital currencies, such as ability to transfer assets over the internet, provide assurance on minting schedules and scarcity, and enable new asset classes, while also partially mitigating their volatility risks. In this paper, we systematically discuss general design, decompose existing stablecoins into various component design elements, explore their strengths and drawbacks, and identify future directions."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , http://arxiv.org/abs/1910.10098v1
Stablecoins and Central Bank Digital Currencies: Policy and Regulatory   Challenges                                                                                     , "Barry Eichengreen, Ganesh Viswanath-Natraj"                                                                                                                                      , 2022-02-15T16:47:47Z, "Stablecoins and central bank digital currencies are on the horizon in Asia, and in some cases have already arrived. This paper provides new analysis and a critique of the use case for both forms of digital currency. It provides time-varying estimates of devaluation risk for the leading stablecoin, Tether, using data from the futures market. It describes the formidable obstacles to widespread use of central bank digital currencies in cross-border transactions, the context in which their utility is arguably greatest. The bottom line is that significant uncertainties continue to dog the region's digital currency initiatives."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , http://arxiv.org/abs/2202.07564v1
Optimal Algorithmic Monetary Policy                                                                                                                                     , "Luyao Zhang, Yulin Liu"                                                                                                                                                          , 2021-04-16T04:42:52Z, "Centralized monetary policy, leading to persistent inflation, is often inconsistent, untrustworthy, and unpredictable. Algorithmic stablecoins enabled by blockchain technology are promising in solving this problem. Algorithmic stablecoins utilize a monetary policy that is entirely rule-based. However, there is little understanding of how to optimize the rule. We propose a model that trade-off the price for supply stability. We further study the comparative statics by varying several design features. Finally, we discuss the empirical implications for designing stablecoins by the private sector and Central Bank Digital Currency (CBDC) by the public sector."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , http://arxiv.org/abs/2104.07888v3
CroCoDai: A Stablecoin for Cross-Chain Commerce                                                                                                                         , "Daniël Reijsbergen, Bretislav Hajek, Tien Tuan Anh Dinh, Jussi Keppo, Henry F. Korth, Anwitaman Datta"                                                                           , 2023-06-16T10:41:28Z, "Decentralized Finance (DeFi), in which digital assets are exchanged without trusted intermediaries, has grown rapidly in value in recent years. The global DeFi ecosystem is fragmented into multiple blockchains, fueling the demand for cross-chain commerce. Existing approaches for cross-chain transactions, e.g., bridges and cross-chain deals, achieve atomicity by locking assets in escrow. However, locking up assets increases the financial risks for the participants, especially due to price fluctuations and the long latency of cross-chain transactions. Stablecoins, which are pegged to a non-volatile asset such as the US dollar, help mitigate the risk associated with price fluctuations. However, existing stablecoin designs are tied to individual blockchain platforms, and trusted parties or complex protocols are needed to exchange stablecoin tokens between blockchains.   Our goal is to design a practical stablecoin for cross-chain commerce. Realizing this goal requires addressing two challenges. The first challenge is to support a large and growing number of blockchains efficiently. The second challenge is to be resilient to price fluctuations and blockchain platform failures. We present CroCoDai to address these challenges. We also present three prototype implementations of our stablecoin system, and show that it incurs small execution overhead."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , http://arxiv.org/abs/2306.09754v4
MStableChain: Towards Multi-Native Stablecoins in EVM-Compatible   Blockchain for Stable Fee and Mass Adoption                                                          , "Mingzhe Li, Bo Gao, Kentaroh Toyoda, Yechao Yang, Juniarto Samsudin, Haibin Zhang, Sifei Lu, Tai Hou Tng, Kerching Choo, Andy Ting, Siow Mong Rick Goh, Qingsong Wei"            , 2024-10-29T14:53:34Z, "Traditional blockchain systems, such as Ethereum, typically rely on a \emph{single volatile cryptocurrency for transaction fees}. This leads to fluctuating transaction fee prices and limits the flexibility of users' payment options. To address these issues, we propose MStableChain, which leverage multiple stablecoins as native tokens for transaction fee settlements, thus ensuring stable transaction fees and flexible payment options. To address the challenges of mass adoption and practicality, we propose several core designs. To maintain compatibility with the Ethereum Virtual Machine (EVM) for mass adoption while supporting multiple native stablecoins, MStableChain employs a multi-currency units, multi-type RPCs mechanism. This mechanism enables the system to handle multiple stablecoins without altering the EVM or requiring changes to user applications. Furthermore, an oracle-based gas fee adjustment mechanism is proposed to manage exchange rates between different stablecoins, ensuring equitable transaction costs across various currencies. The system also introduces a secure, on-chain voting-based management protocol for the administrative functions related to these stablecoins. Experimental results from a prototype implementation demonstrate that MStableChain provides stable transaction fee prices, high effectiveness, and good usability."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , http://arxiv.org/abs/2410.22100v2
Hybrid Monetary Ecosystems: Integrating Stablecoins and Fiat in the   Future of Currency Systems                                                                        , "Hongzhe Wen, Songbai Li, Jamie Zhang"                                                                                                                                            , 2025-05-16T08:46:33Z, "With market capitalization exceeding USD 200 billion as of early 2025, stablecoins have evolved from a crypto-focused innovation into a vital component of the global monetary structure. This paper identifies the characteristics of stablecoins from an analytical perspective and investigates the role of stablecoins in forming hybrid monetary ecosystems where public (fiat, CBDC) and private (USDC, USDT, DAI) monies coexist. Through econometric analysis with multiple models, we find that stablecoins maintain strong peg stability, while each type also exhibits distinctive responses to market variables such as trading volume and capitalization, depending on the mechanisms behind. We introduce a hybrid system design that proposes a two-layer structure where private stablecoin issuers are backed by central bank reserves, ensuring uniformity, security, and programmability. This model merges the advantages of decentralized finance and payment innovation while utilizing the Federal Reserve's institutional trust. A case study on the 2023 SVB-USDC depeg event illustrates how such a hybrid system could prevent panic-induced instability through transparent reserves, secured liquidity, and interoperable assets. Ultimately, this research examines the model using the Dybvig model and Monte Carlo Simulation and concludes, with the results of the examinations, that a hybrid monetary model not only enhances financial inclusivity, scalability, and dollar utility in digital ecosystems but also strengthens systemic resilience, offering a credible blueprint for future digital dollar architectures."                                                                                                                                                                                                                                                                                                                              , http://arxiv.org/abs/2505.10997v2
Decentralized Governance of Stablecoins with Closed Form Valuation                                                                                                      , "Lucy Huo, Ariah Klages-Mundt, Andreea Minca, Frederik Christian Münter, Mads Rude Wind"                                                                                          , 2021-09-18T14:19:53Z, "We model incentive security in non-custodial stablecoins and derive conditions for participation in a stablecoin system across risk absorbers (vaults/CDPs) and holders of governance tokens. We apply option pricing theory to derive closed form solutions to the stakeholders' problems, and to value their positions within the capital structure of the stablecoin. We derive the optimal interest rate that is incentive compatible, as well as conditions for the existence of equilibria without governance attacks, and discuss implications for designing secure protocols."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , http://arxiv.org/abs/2109.08939v3
No Questions Asked: Effects of Transparency on Stablecoin Liquidity   During the Collapse of Silicon Valley Bank                                                        , "Walter Hernandez Cruz, Jiahua Xu, Paolo Tasca, Carlo Campajola"                                                                                                                  , 2024-07-16T13:33:57Z, "Fiat-pegged stablecoins are by nature exposed to spillover effects during market turmoil in Traditional Finance (TradFi). We observe a difference in TradFi market shocks impact between various stablecoins, in particular, USD Coin (USDC) and Tether USDT (USDT), the former with a higher reporting frequency and transparency than the latter. We investigate this, using top USDC and USDT liquidity pools in Uniswap, by adapting the Marginal Cost of Immediacy (MCI) measure to Uniswap's Automated Market Maker, and then conducting Difference-in-Differences analysis on MCI and Total Value Locked (TVL) in USD, as well as measuring liquidity concentration across different providers. Results show that the Silicon Valley Bank (SVB) event reduced USDC's TVL dominance over USDT, increased USDT's liquidity cost relative to USDC, and liquidity provision remained concentrated with pool-specific trends. These findings reveal a flight-to-safety behavior and counterintuitive effects of stablecoin transparency: USDC's frequent and detailed disclosures led to swift market reactions, while USDT's opacity and less frequent reporting provided a safety net against immediate impacts."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , http://arxiv.org/abs/2407.11716v1
Improving DeFi Mechanisms with Dynamic Games and Optimal Control: A Case   Study in Stablecoins                                                                         , "Nicholas Strohmeyer, Sriram Vishwanath, David Fridovich-Keil"                                                                                                                    , 2024-10-28T18:51:00Z, "Stablecoins are a class of cryptocurrencies which aim at providing consistency and predictability, typically by pegging the token's value to that of a real world asset. Designing resilient decentralized stablecoins is a challenge, and prominent stablecoins today either (i) give up on decentralization, or (ii) rely on user-owned cryptocurrencies as collateral, exposing the token to exogenous price fluctuations. In this latter category, it is increasingly common to employ algorithmic mechanisms to automate risk management, helping maintain the peg. One example of this is Reflexer's RAI, which adapts its system-internal exchange rate (redemption price) to secondary market conditions according to a proportional control law. In this paper, we take this idea of active management a step further, and introduce a new kind of control scheme based on a Stackelberg game model between the token protocol and its users. By doing so, we show that (i) we can mitigate adverse depeg events that inevitably arise in a fixed-redemption scheme such as MakerDao's DAI and (ii) generally outperform a simpler, adaptive-redemption scheme such as RAI in the task of targeting a desired market price. We demonstrate these results through extensive simulations over a range of market conditions."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , http://arxiv.org/abs/2410.21446v1
Unveiling the Mechanisms of DAI: A Logic-Based Approach to Stablecoin   Analysis                                                                                        , "Francesco De Sclavis, Giuseppe Galano, Aldo Glielmo, Matteo Nardelli"                                                                                                            , 2024-12-20T11:43:51Z, "Stablecoins are digital assets designed to maintain a stable value, typically pegged to traditional currencies. Despite their growing prominence, many stablecoins have struggled to consistently meet stability expectations, and their underlying mechanisms often remain opaque and challenging to analyze. This paper focuses on the DAI stablecoin, which combines crypto-collateralization and algorithmic mechanisms. We propose a formal logic-based framework for representing the policies and operations of DAI, implemented in Prolog and released as open-source software. Our framework enables detailed analysis and simulation of DAI's stability mechanisms, providing a foundation for understanding its robustness and identifying potential vulnerabilities."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , http://arxiv.org/abs/2412.15814v3
Mitigating Financial Frictions in Agriculture: A Framework for   Stablecoin Adoption                                                                                    , Xinyu Li                                                                                                                                                                          , 2025-07-20T14:01:08Z, "Persistent financial frictions - including price volatility, constrained credit access, and supply chain inefficiencies - have long hindered productivity and welfare in the global agricultural sector. This paper provides a theoretical and applied analysis of how fiat-collateralized stablecoins, a class of digital currency pegged to a stable asset like the U.S. dollar, can address these long-standing challenges. We develop a farm-level profit maximization model incorporating transaction costs and credit constraints to demonstrate how stablecoins can enhance economic outcomes by (1) reducing the costs and risks of cross-border trade, (2) improving the efficiency and transparency of supply chain finance through smart contracts, and (3) expanding access to credit for smallholder farmers. We analyze key use cases, including parametric insurance and trade finance, while also considering the significant hurdles to adoption, such as regulatory uncertainty and the digital divide. The paper concludes that while not a panacea, stablecoins represent a significant financial technology with the potential to catalyze a paradigm shift in agricultural economics, warranting further empirical investigation and policy support."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , http://arxiv.org/abs/2507.14970v1
Rational Ponzi Games in Algorithmic Stablecoin                                                                                                                          , "Shange Fu, Qin Wang, Jiangshan Yu, Shiping Chen"                                                                                                                                 , 2022-10-21T13:00:46Z, "Algorithmic stablecoins (AS) are one special type of stablecoins that are not backed by any asset (equiv. without collateral). They stand to revolutionize the way a sovereign fiat operates. As implemented, these coins are poorly stabilized in most cases, easily deviating from the price target or even falling into a catastrophic collapse (a.k.a. Death spiral), and are as a result dismissed as a Ponzi scheme. However, is this the whole picture? In this paper, we try to reveal the truth and clarify such a deceptive concept. We find that Ponzi is basically a financial protocol that pays existing investors with funds collected from new ones. Running a Ponzi, however, does not necessarily imply that any participant is in any sense losing out, as long as the game can be perpetually rolled over. Economists call such realization as a \textit{rational Ponzi game}. We thereby propose a rational model in the context of AS and draw its holding conditions. We apply the model to examine: \textit{whether or not the algorithmic stablecoin is a rational Ponzi game.} Accordingly, we discuss two types of algorithmic stablecoins (\text{Rebase} \& \text{Seigniorage shares}) and dig into the historical market performance of two impactful projects (\text{Ampleforth} \& \text{TerraUSD}, respectively) to demonstrate the effectiveness of our model."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , http://arxiv.org/abs/2210.11928v2
Real-time Risk Metrics for Programmatic Stablecoin Crypto   Asset-Liability Management (CALM)                                                                           , "Marcel Bluhm, Adrian Cachinero Vasiljević, Sébastien Derivaux, Søren Terp Hørlück Jessen"                                                                                        , 2024-01-24T11:53:53Z, "Stablecoins have turned out to be the ""killer"" use case of the growing digital asset space. However, risk management frameworks, including regulatory ones, have been largely absent. In this paper, we address the critical question of measuring and managing risk in stablecoin protocols, which operate on public blockchain infrastructure. The on-chain environment makes it possible to monitor risk and automate its management via transparent smart-contracts in real-time. We propose two risk metrics covering capitalization and liquidity of stablecoin protocols. We then explore in a case-study type analysis how our risk management framework can be applied to DAI, the biggest decentralized stablecoin by market capitalisation to-date, governed by MakerDAO. Based on our findings, we recommend that the protocol explores implementing automatic capital buffer adjustments and dynamic maturity gap matching. Our analysis demonstrates the practical benefits for scalable (prudential) risk management stemming from real-time availability of high-quality, granular, tamper-resistant on-chain data in the digital asset space. We name this approach Crypto Asset-Liability Management (CALM)."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , http://arxiv.org/abs/2401.13399v1
A Multivariate Hawkes Process Model for Stablecoin-Cryptocurrency   Depegging Event Dynamics                                                                            , Connor Oxenhorn                                                                                                                                                                   , 2022-05-12T20:00:40Z, "Stablecoins, digital assets pegged to a specific currency or commodity value, are heavily involved in transactions of major cryptocurrencies. The effects of deviations from their desired fixed values (depeggings) on the cryptocurrencies for which they are frequently used in transactions are therefore of interest to study. We propose a model for this phenomenon using a multivariate mutually-exciting Hawkes process, and present a numerical example applying this model to Tether (USDT) and Bitcoin (BTC)."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , http://arxiv.org/abs/2205.06338v1
The Stablecoin Discount: Evidence of Tether's U.S. Treasury Bill Market   Share in Lowering Yields                                                                      , "Lennart Ante, Aman Saggu, Ingo Fiedler"                                                                                                                                          , 2025-05-18T13:33:37Z, "Stablecoins represent a critical bridge between cryptocurrency and traditional finance, with Tether (USDT) dominating the sector as the largest stablecoin by market capitalization. By Q1 2025, Tether directly held approximately $98.5 billion in U.S. Treasury bills, representing 1.6% of all outstanding Treasury bills, making it one of the largest non-sovereign buyers in this crucial asset class, on par with nation-state-level investors. This paper investigates how Tether's market share of U.S. Treasury bills influences corresponding yields. The baseline semi-log time trend model finds that a 1% increase in Tether's market share is associated with a 1-month yield reduction of 3.8%, corresponding to 14-16 basis points. However, threshold regression analysis reveals a critical market share threshold of 0.973%, above which the yield impact intensifies significantly. In this high regime, a 1% market share increase reduces 1-month yields by 6.3%. At the end of Q1 2025, Tether's market share placed it firmly within this high-impact regime, reducing 1-month yields by around 24 basis points relative to a counterfactual. In absolute terms, Tether's demand for Treasury Bills equates to roughly $15 billion in annual interest savings for the U.S. government. Aligning with theories of liquidity saturation and nonlinear price impact, these results highlight that stablecoin demand can reduce sovereign funding costs and provide a potential buffer against market shocks."                                                                                                                                                                                                                                                                                                                                                                                                                                                          , http://arxiv.org/abs/2505.12413v1
Monetary Stabilization in Cryptocurrencies - Design Approaches and Open   Questions                                                                                     , "Ingolf G. A. Pernice, Sebastian Henningsen, Roman Proskalovich, Martin Florian, Hermann Elendner, Björn Scheuermann"                                                             , 2019-05-28T16:05:35Z, "The price volatility of cryptocurrencies is often cited as a major hindrance to their wide-scale adoption. Consequently, during the last two years, multiple so called stablecoins have surfaced---cryptocurrencies focused on maintaining stable exchange rates. In this paper, we systematically explore and analyze the stablecoin landscape. Based on a survey of 24 specific stablecoin projects, we go beyond individual coins for extracting general concepts and approaches. We combine our findings with learnings from classical monetary policy, resulting in a comprehensive taxonomy of cryptocurrency stabilization. We use our taxonomy to highlight the current state of development from different perspectives and show blank spots. For instance, while over 91% of projects promote 1-to-1 stabilization targets to external assets, monetary policy literature suggests that the smoothing of short term volatility is often a more sustainable alternative. Our taxonomy bridges computer science and economics, fostering the transfer of expertise. For example, we find that 38% of the reviewed projects use a combination of exchange rate targeting and specific stabilization techniques that can render them vulnerable to speculative economic attacks - an avoidable design flaw."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , http://arxiv.org/abs/1905.11905v1
Time-Varying Coefficient DAR Model and Stability Measures for Stablecoin   Prices: An Application to Tether                                                             , "Antoine Djobenou, Emre Inan, Joann Jasiak"                                                                                                                                       , 2023-01-02T03:07:09Z, "This paper examines the dynamics of Tether, the stablecoin with the largest market capitalization. We show that the distributional and dynamic properties of Tether/USD rates have been evolving from 2017 to 2021. We use local analysis methods to detect and describe the local patterns, such as short-lived trends, time-varying volatility and persistence. To accommodate these patterns, we consider a time varying parameter Double Autoregressive tvDAR(1) model under the assumption of local stationarity of Tether/USD rates. We estimate the tvDAR model non-parametrically and test hypotheses on the functional parameters. In the application to Tether, the model provides a good fit and reliable out-of-sample forecasts at short horizons, while being robust to time-varying persistence and volatility. In addition, the model yields a simple plug-in measure of stability for Tether and other stablecoins for assessing and comparing their stability."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , http://arxiv.org/abs/2301.00509v1
"Blockchain and Stablecoin Integration for Crowdfunding: A framework for   enhanced efficiency, security, and liquidity"                                                , Mustafa Savas Unsal                                                                                                                                                               , 2025-01-19T19:03:15Z, "Crowdfunding platforms face high transaction fees, need for more transparency, and trust deficits. These issues deter contributors and entrepreneurs from effectively leveraging crowdfunding for innovation and growth. Blockchain technology introduces decentralization, security, and efficiency to address these limitations (1). This paper proposes a blockchain-based crowdfunding framework that integrates stablecoins such as USDT and USDC to mitigate cryptocurrency volatility and ensure seamless fund management. Smart contracts automate compliance processes, including Know Your Customer (KYC) / Anti-Money Laundering (AML) checks, and enhance operational efficiency (2). Furthermore, tokenization enables liquidity by allowing fractional ownership and secondary market trading, which must be effectively implemented on any global market platform. A comparative analysis highlights the superiority of the framework over traditional platforms in terms of cost reduction, transparency, and investor trust. A case study focused on the Turkish market illustrates the practical benefits of blockchain adoption in equity crowdfunding, particularly in navigating local regulatory and financial complexities. This approach provides a scalable, secure, and accessible solution for modern crowdfunding ecosystems, while reducing the costs of platforms and increasing the trust of investors and backers in crowdfunding projects. Keywords Blockchain, stablecoins, crowdfunding, tokenization, and compliance"                                                                                                                                                                                                                                                                                                                                                                                                                                     , http://arxiv.org/abs/2501.11145v1
"Global, robust and comparable digital carbon assets"                                                                                                                   , "Sadiq Jaffer, Michael Dales, Patrick Ferris, Thomas Swinfield, Derek Sorensen, Robin Message, Srinivasan Keshav, Anil Madhavapeddy"                                              , 2024-03-21T17:35:07Z, "Carbon credits purchased in the voluntary carbon market allow unavoidable emissions, such as from international flights for essential travel, to be offset by an equivalent climate benefit, such as avoiding emissions from tropical deforestation. However, many concerns regarding the credibility of these offsetting claims have been raised. Moreover, the credit market is manual, therefore inefficient and unscalable, and non-fungible, therefore illiquid. To address these issues, we propose an efficient digital methodology that combines remote sensing data, modern econometric techniques, and on-chain certification and trading to create a new digital carbon asset (the PACT stablecoin) against which carbon offsetting claims can be transparently verified. PACT stablecoins are produced as outputs from a reproducible computational pipeline for estimating the climate benefits of carbon offset projects that not only quantifies the CO2 emissions involved, but also allows for similar credits to be pooled based on their co-benefits such as biodiversity and jurisdictional attributes, increasing liquidity through fungibility within pools. We implement and evaluate the PACT carbon stablecoin on the Tezos blockchain, which is designed to facilitate low-cost transactions while minimizing environmental impact. Our implementation includes a contract for a registry for tracking issuance, ownership, and retirement of credits, and a custodian contract to bridge on-chain and off-chain transactions. Our work brings scale and trust to the voluntary carbon market by providing a transparent, scalable, and efficient framework for high integrity carbon credit transactions."                                                                                                                                                                                                                                                         , http://arxiv.org/abs/2403.14581v2
