Title,Authors,Published,Summary,Link
Dynamical systems with double recursion are undecidable,Mihai Prunescu,2007-10-10T18:40:09Z,A primitive type of two-dimensional dynamic system is introduced. It is shown that there is no decision procedure able to answer if such a dynamical system is ultimately zero.,http://arxiv.org/abs/0710.2090v1
Limit sets and a problem in dynamical systems,Vladimir Azarin,2008-04-02T13:32:02Z,We approximate a chain recurrent dynamical system by periodic dynamical systems. This is similar to the well known Bohr theorem on approximation of almost periodic functions by periodic functions.,http://arxiv.org/abs/0804.0348v2
"Transformations, Dynamics and Complexity",Nikolaj Glazunov,2011-04-11T10:26:46Z,"We review and investigate some new problems and results in the field of dynamical systems generated by iteration of maps, {\beta}-transformations, partitions, group actions, bundle dynamical systems, Hasse-Kloosterman maps, and some aspects of complexity of the systems.",http://arxiv.org/abs/1104.1898v1
On a two dimensional dynamical system generated by the floor function,J. B. Usmonov,2019-03-26T10:14:01Z,In this paper we investigate the two dimensional dynamical system generated by the floor function with a parameter $\lambda\in \R$. We describe all limit points of the dynamical system depending on $\lambda$ and on the initial point.,http://arxiv.org/abs/1903.10774v1
A note on combining chaotic dynamical systems using the fuzzy logic XOR   operator,Rezki Chemlal,2020-12-31T19:43:58Z,"In this paper we explore whatever combining two chaotic dynamical systems using the fuzzy logic operator XOR can maintain or not the chaotic properties of the resulting dynamical system. This study is motivated by techniques used in applications to secure communications ,images encryption and cryptography.",http://arxiv.org/abs/2101.00053v1
A variational principle for entropy of a random dynamical system,Yuan Lian,2024-03-12T10:25:32Z,"In this article, I give a definition of topological entropy for random dynamical systems associated to an infinite countable discrete amenable group action. I obtain a variational principle between the topological entropy and measurable fiber entropy of a random dynamical system.",http://arxiv.org/abs/2403.07488v1
Explicit construction of recurrent neural networks effectively   approximating discrete dynamical systems,"Chikara Nakayama, Tsuyoshi Yoneda",2024-09-28T07:59:45Z,"We consider arbitrary bounded discrete time series originating from dynamical system with recursivity. More precisely, we provide an explicit construction of recurrent neural networks which effectively approximate the corresponding discrete dynamical systems.",http://arxiv.org/abs/2409.19278v1
Delocalization of a Dynamic System with Preservation or Self-Resurection   of Informational Functionality. Ghost machines or can a system survive its   destruction,"Vadim Astakhov, Tamara Astakhova",2007-01-13T09:42:25Z,We analyzed the problem of a dynamic system delocalization due to changes in the system environment - universe and system architecture. We developed a Delocalization of Dynamic Cores model to analyze the migration of functional properties in open information and dynamic systems undergoing architecture transition and modifications. Information geometry and topological formalisms are proposed to analyze informational dynamic systems. Different physical and holographic models are proposed to construct systems able to conserve their functional properties under delocalization transition. We found several constraints for the system environment - universe which conserve the dynamic core system functionality under transition from localized explicit implementation of functions to the implicit distributed implementation.,http://arxiv.org/abs/nlin/0701026v1
"Rare events, exponential hitting times and extremal indices via spectral   perturbation",Gerhard Keller,2012-02-17T13:02:11Z,We discuss how an eigenvalue perturbation formula for transfer operators of dynamical systems is related to exponential hitting time distributions and extreme value theory for processes generated by chaotic dynamical systems. We also list a number of piecewise expanding systems to which this general theory applies and discuss the prospects to apply this theory to some classes of piecewise hyperbolic systems.,http://arxiv.org/abs/1202.3900v1
Approximation Dynamics,Ethan Akin,2017-02-08T19:47:40Z,"We describe the approximation of a continuous dynamical system on a p. l. manifold or Cantor set by a tractable system. A system is tractable when it has a finite number of chain components and, with respect to a given full background measure, almost every point is generic for one of a finite number of ergodic invariant measures. The approximations use non-degenerate simplicial dynamical systems for p. l. manifolds and shift-like dynamical systems for Cantor Sets.",http://arxiv.org/abs/1702.02596v2
Geometric Methods for Stochastic Dynamical Systems,"Jinqiao Duan, Hui Wang",2018-11-02T03:22:14Z,"Noisy fluctuations are ubiquitous in complex systems. They play a crucial or delicate role in the dynamical evolution of gene regulation, signal transduction, biochemical reactions, among other systems. Therefore, it is essential to consider the effects of noise on dynamical systems. It has been a challenging topic to have better understanding of the impact of the noise on the dynamical behaviors of complex systems.",http://arxiv.org/abs/1811.00723v1
Dynamic Quantization based Symbolic Abstractions for Nonlinear Control   Systems,"Wei Ren, Dimos V. Dimarogonas",2020-11-25T15:20:07Z,"This paper studies the construction of dynamic symbolic abstractions for nonlinear control systems via dynamic quantization. Since computational complexity is a fundamental problem in the use of discrete abstractions, a dynamic quantizer with a time-varying quantization parameter is first applied to deal with this problem. Due to the dynamic quantizer, a dynamic approximation approach is proposed for the state and input sets. Based on the dynamic approximation, dynamic symbolic abstractions are constructed for nonlinear control systems, and an approximate bisimulation relation is guaranteed for the original system and the constructed dynamic symbolic abstraction. Finally, the obtained results are illustrated through a numerical example from path planning of mobile robots.",http://arxiv.org/abs/2011.12816v1
Types and stability of fixed points for positivity-preserving   discretized dynamical systems in two dimensions,"Shousuke Ohmori, Yoshihiro Yamazaki",2023-04-04T07:00:13Z,"Relationship for dynamical properties in the vicinity of fixed points between two-dimensional continuous and its positivity-preserving discretized dynamical systems is studied. Based on linear stability analysis, we reveal the conditions under which the dynamical structures of the original continuous dynamical systems are retained in their discretized dynamical systems, and the types of fixed points are identified if they change due to discretization. We also discuss stability of the fixed points in the discrete dynamical systems. The obtained general results are applied to Sel'kov model and Lengyel-Epstein model.",http://arxiv.org/abs/2304.01573v1
On invariant measure structure of ergodic discrete dynamical systems,Anatoliy K. Prykarpatsky,1999-06-22T11:30:43Z,There is studied an invariant measure structure of a class of ergodicl discrete dynamical systems by means of the measure generating function method,http://arxiv.org/abs/math/9906146v1
On Conley's Fundamental Theorem of Dynamical Systems,M. R. Razvan,2000-09-20T05:33:58Z,"In this paper, we generalize Conley's fundamental theorem of dynamical systems in Conley index theory. We also conclude the existence of regular index filtration for every Morse decomposition.",http://arxiv.org/abs/math/0009184v1
Spectral theory of dynamical systems,"Adam Kanigowski, Mariusz Lemańczyk",2020-06-20T16:55:46Z,This is a survey on spectral theory of dynamical systems.,http://arxiv.org/abs/2006.11616v1
Convergence Criteria for Dynamic Integer Systems,Klaus Weise,2021-10-24T15:51:19Z,Criteria are presented for testing whether every trajectory of a dynamic integer system converges to the same fixed point,http://arxiv.org/abs/2110.12471v1
Deterministic diffusion in dynamical systems with a tiled phase space,Irina Nizhnik,2024-12-30T23:29:42Z,The existence of normal deterministic diffusion in dynamical systems with a two-dimensional phase space tiled by regular triangles (or their unions into regular hexagons) is proven.,http://arxiv.org/abs/2501.00182v1
$C^m-$ linearization of discrete random dynamical systems,Iryna Vasylieva,2025-06-29T13:00:10Z,"This paper establishes $C^m$ topological equivalence of nonautonomous semilinear difference equation with its linearization and generalizes the obtained results to discrete random dynamical systems, considering both, global and local, assumptions.",http://arxiv.org/abs/2506.23217v1
Computational Dynamical Systems,"Jordan Cotler, Semon Rezchikov",2024-09-18T17:51:48Z,"We study the computational complexity theory of smooth, finite-dimensional dynamical systems. Building off of previous work, we give definitions for what it means for a smooth dynamical system to simulate a Turing machine. We then show that 'chaotic' dynamical systems (more precisely, Axiom A systems) and 'integrable' dynamical systems (more generally, measure-preserving systems) cannot robustly simulate universal Turing machines, although such machines can be robustly simulated by other kinds of dynamical systems. Subsequently, we show that any Turing machine that can be encoded into a structurally stable one-dimensional dynamical system must have a decidable halting problem, and moreover an explicit time complexity bound in instances where it does halt. More broadly, our work elucidates what it means for one 'machine' to simulate another, and emphasizes the necessity of defining low-complexity 'encoders' and 'decoders' to translate between the dynamics of the simulation and the system being simulated. We highlight how the notion of a computational dynamical system leads to questions at the intersection of computational complexity theory, dynamical systems theory, and real algebraic geometry.",http://arxiv.org/abs/2409.12179v1
Dynamic Logics of Dynamical Systems,André Platzer,2012-05-22T02:06:24Z,"We survey dynamic logics for specifying and verifying properties of dynamical systems, including hybrid systems, distributed hybrid systems, and stochastic hybrid systems. A dynamic logic is a first-order modal logic with a pair of parametrized modal operators for each dynamical system to express necessary or possible properties of their transition behavior. Due to their full basis of first-order modal logic operators, dynamic logics can express a rich variety of system properties, including safety, controllability, reactivity, liveness, and quantified parametrized properties, even about relations between multiple dynamical systems. In this survey, we focus on some of the representatives of the family of differential dynamic logics, which share the ability to express properties of dynamical systems having continuous dynamics described by various forms of differential equations.   We explain the dynamical system models, dynamic logics of dynamical systems, their semantics, their axiomatizations, and proof calculi for proving logical formulas about these dynamical systems. We study differential invariants, i.e., induction principles for differential equations. We survey theoretical results, including soundness and completeness and deductive power. Differential dynamic logics have been implemented in automatic and interactive theorem provers and have been used successfully to verify safety-critical applications in automotive, aviation, railway, robotics, and analogue electrical circuits.",http://arxiv.org/abs/1205.4788v1
Koopman Operators for Global Analysis of Hybrid Limit-Cycling Systems:   Construction and Spectral Properties,"Natsuki Katayama, Yoshihiko Susuki",2024-11-06T16:58:26Z,"This paper reports a theory of Koopman operators for a class of hybrid dynamical systems with globally asymptotically stable periodic orbits, called hybrid limit-cycling systems. We leverage smooth structures intrinsic to the hybrid dynamical systems, thereby extending the existing theory of Koopman operators for smooth dynamical systems. Rigorous construction of an observable space is carried out to preserve the inherited smooth structures of the hybrid dynamical systems. Complete spectral characterization of the Koopman operators acting on the constructed space is then derived where the existence and uniqueness of their eigenfunctions are ensured. Our results facilitate global analysis of hybrid dynamical systems using the Koopman operator.",http://arxiv.org/abs/2411.04052v1
A dynamical version of Kuratowski-Mycielski Theorem and invariant   chaotic sets,"Jian Li, Jie Lü, Yuanfen Xiao",2018-01-31T01:24:38Z,"We establish a dynamical version of Kuratowski-Mycielski Theorem on the existence of ""large"" invariant dependent sets. We apply this result to the study of invariant chaotic sets in topological dynamical systems, simplify many known results on this topic and also obtain some new results.",http://arxiv.org/abs/1801.10266v1
"Dynamical systems defined on simplicial complexes: symmetries,   conjugacies, and invariant subspaces","Eddie Nijholt, Lee DeVille",2022-04-18T14:48:01Z,"We consider the general model for dynamical systems defined on a simplicial complex. We describe the conjugacy classes of these systems and show how symmetries in a given simplicial complex manifest in the dynamics defined thereon, especially with regard to invariant subspaces in the dynamics.",http://arxiv.org/abs/2204.08350v1
"Finite Dynamical Systems, Linear Automata, and Finite Fields","Oscar Moreno, Dorothy Bollman, Maria A. Avino-Diaz",2006-04-25T14:05:56Z,"We establish a connection between finite fields and finite dynamical systems. We show how this connection can be used to shed light on some problems in finite dynamical systems and in particular, in linear systems.",http://arxiv.org/abs/math/0604534v1
Reduction of polynomial dynamical systems modulo primes,Sudhansu Sekhar Rout,2021-02-08T09:29:26Z,"We study the algebraic dynamical systems generated by triangular systems of rational functions and estimate the height growth of iterations generated by such systems. Further, using a result on the reduction modulo primes of systems of multivariate polynomials over the integers, we study the periodic points and the intersection of orbits of such dynamical systems over finite fields. 1",http://arxiv.org/abs/2102.04077v1
On Mathematics of Bubbles in Dynamical Systems,Petr Klan,2021-12-29T15:49:43Z,A new concept called biased derivative is proposed. It has a potential to better understand and model some aspects of dynamical systems associated with creating bubbles.,http://arxiv.org/abs/2112.15453v2
Hitting time statistics for observations of dynamical systems,Jerome Rousseau,2014-04-01T16:11:41Z,"In this paper we study the distribution of hitting and return times for observations of dynamical systems. We apply this results to get an exponential law for the distribution of hitting and return times for rapidly mixing random dynamical systems. In particular, it allows us to obtain an exponential law for random expanding maps, random circle maps expanding in average and randomly perturbed dynamical systems.",http://arxiv.org/abs/1404.0295v2
"$p$-Adic $(3,2)$-rational dynamical systems with three fixed points",I. A. Sattarov,2019-09-01T06:47:39Z,"In this paper we consider dynamical systems generated by $(3,2)$-rational functions on the field of $p$-adic complex numbers. Each such function has three fixed points.   We show that Siegel disks of the dynamical system may either coincide or be disjoint for different fixed points. Also, we find the basin of each attractor of the dynamical system. We show that, for some values of the parameters, there are trajectories which go arbitrary far from the fixed points.",http://arxiv.org/abs/1909.00335v1
Internal dynamics of multibody systems,Lukas Lanza,2020-09-18T10:06:04Z,"We consider nonlinear multibody systems and present a suitable set of coordinates for the internal dynamics which allow to decouple the internal dynamics without the need to compute the Byrnes-Isidori form. Furthermore, we derive sufficient conditions for the system parameters such that the internal dynamics of a class of systems with constant mass matrix are bounded-input, bounded-output stable.",http://arxiv.org/abs/2009.08726v2
Minimal dynamical systems with closed relations,"Iztok Banic, Goran Erceg, Rene Gril Rogina, Judy Kennedy",2022-05-05T20:24:07Z,"We introduce dynamical systems $(X,G)$ with closed relations $G$ on compact metric spaces $X$ and discuss different types of minimality of such dynamical systems, all of them generalizing minimal dynamical systems $(X,f)$ with continuous function $f$ on a compact metric space $X$.",http://arxiv.org/abs/2205.02907v1
Transitive points in CR-dynamical systems,"Iztok Banič, Goran Erceg, Sina Greenwood, Judy Kennedy",2022-09-15T20:56:55Z,"We study different types of transitive points in CR-dynamical systems (X,G) with closed relations G on compact metric spaces X. We also introduce transitive and dense orbit transitive CR-dynamical systems and discuss their properties and the relations between them. This generalizes the notion of transitive topological dynamical systems (X, f ).",http://arxiv.org/abs/2209.07605v1
Dynamics of Nonautonomous Discrete Dynamical Systems,"Puneet Sharma, Manish Raghav",2015-12-30T07:03:45Z,"In this paper we study the dynamics of a general non-autonomous dynamical system generated by a family of continuous self maps on a compact space $X$. We derive necessary and sufficient conditions for the system to exhibit complex dynamical behavior. In the process we discuss properties like transitivity, weakly mixing, topologically mixing, minimality, sensitivity, topological entropy and Li-Yorke chaoticity for the non-autonomous system. We also give examples to prove that the dynamical behavior of the non-autonomous system in general cannot be characterized in terms of the dynamical behavior of its generating functions.",http://arxiv.org/abs/1512.08868v3
A new relation between geometric and dynamical properties of objects   such as tilings and Delone sets,Yasushi Nagai,2018-11-12T10:53:13Z,"Let P be an object such as tiling, Delone set and weighted Dirac comb. There corresponds a dynamical system to P, called the corresponding dynamical system. Such dynamical systems are geometric analogues of symbolic dynamics. It is well-known that there are correspondences between geometric properties of P and properties of the corresponding dynamical system. In this article we give a new correspondence. In other words, we characterize the property that the group of topological eigenvalues for the corresponding dynamical system is not discrete, in terms of a geometric property of P.",http://arxiv.org/abs/1811.04654v1
Representative dynamics,Denis V. Juriev,1999-11-07T06:27:22Z,"This short note is devoted to the representative dynamics, which realizes a link between the theory of controlled systems and representation theory. Dynamical inverse problem of representation theory for controlled systems is considered: to solve it means to correspond a representative dynamics to the controlled system.",http://arxiv.org/abs/math/9911040v1
A Markov partition for the Feigenbaum dynamics,Genadi Levin,2002-10-19T11:51:52Z,"We build a Markov partition of the Feigenbaum dynamical plane, and a system of ""external rays"", which are invariant under rescaling. Applications to geometry of the Feigenbaum map are given.",http://arxiv.org/abs/math/0210306v2
The Dynamics of Rabinovich system,"Oana Chis, Mircea Puta",2007-10-24T22:37:05Z,"The paper presents some dynamical aspects of Rabinovich type, with distributed delay and with fractional derivatives.",http://arxiv.org/abs/0710.4583v3
Approximate Dynamical Systems,K. R. W. Jones,2013-12-22T15:59:26Z,"Working notes on setting up approximate dynamical systems and nonlinear eigenvalue problems, here embedded within the theory of complex nonlinear dynamics. Computations parallel those of linear quantum theory except that we use functional methods rather than Hilbert space.",http://arxiv.org/abs/1312.6396v1
Measuring Complexity in Cantor Dynamics,Karl Petersen,2016-07-08T15:47:35Z,"These notes from lectures by the author at the CIMPA Research School held in Salta, Argentina, in November 2015 review definitions and properties of various measures of complexity in topological and measure-preserving dynamical systems, especially symbolic dynamical systems.",http://arxiv.org/abs/1607.02425v1
Delone sets and dynamical systems,Boris Solomyak,2018-02-07T10:01:42Z,"In these expository notes we focus on selected topics around the themes: Delone sets as models for quasicrystals, inflation symmetries and expansion constants, substitution Delone sets and tilings, and associated dynamical systems.",http://arxiv.org/abs/1802.02370v1
Dynamical independence: discovering emergent macroscopic processes in   complex dynamical systems,"Lionel Barnett, Anil K. Seth",2021-06-11T17:11:45Z,"We introduce a notion of emergence for coarse-grained macroscopic variables associated with highly-multivariate microscopic dynamical processes, in the context of a coupled dynamical environment. Dynamical independence instantiates the intuition of an emergent macroscopic process as one possessing the characteristics of a dynamical system ""in its own right"", with its own dynamical laws distinct from those of the underlying microscopic dynamics. We quantify (departure from) dynamical independence by a transformation-invariant Shannon information-based measure of dynamical dependence. We emphasise the data-driven discovery of dynamically-independent macroscopic variables, and introduce the idea of a multiscale ""emergence portrait"" for complex systems. We show how dynamical dependence may be computed explicitly for linear systems via state-space modelling, in both time and frequency domains, facilitating discovery of emergent phenomena at all spatiotemporal scales. We discuss application of the state-space operationalisation to inference of the emergence portrait for neural systems from neurophysiological time-series data. We also examine dynamical independence for discrete- and continuous-time deterministic dynamics, with potential application to Hamiltonian mechanics and classical complex systems such as flocking and cellular automata.",http://arxiv.org/abs/2106.06511v2
Quiver representations and dimension reduction in dynamical systems,"Eddie Nijholt, Soeren Schwenker, Bob Rink",2020-06-15T01:13:07Z,"Dynamical systems often admit geometric properties that must be taken into account when studying their behaviour. We show that many such properties can be encoded by means of quiver representations. These properties include classical symmetry, hidden symmetry and feedforward structure, as well as subnetwork and quotient relations in network dynamical systems. A quiver equivariant dynamical system consists of a collection of dynamical systems with maps between them that send solutions to solutions. We prove that such quiver structures are preserved under Lyapunov-Schmidt reduction, center manifold reduction, and normal form reduction.",http://arxiv.org/abs/2006.08073v2
Specification in Mahavier Systems via Closed Relations,"Iztok Banič, Goran Erceg, Ivan Jelić, Judy Kennedy",2025-07-01T19:30:41Z,"We study two fundamental properties of topological dynamical systems, the specification property and the initial specification property, and explore their generalizations to the broader setting of CR-dynamical systems, where the dynamics are governed by closed relations rather than continuous functions. While these two properties are equivalent for many classical systems, we demonstrate that their generalizations to CR-dynamical systems often lead to distinct behaviors. Applying them to Mahavier dynamical systems, we introduce new specification-type properties. These generalized notions extend the classical theory and reveal rich structural differences in dynamical behavior. Moreover, each of the new properties reduces to the standard specification property when restricted to continuous functions.",http://arxiv.org/abs/2507.01155v1
The steady states of coupled dynamical systems compose according to   matrix arithmetic,David I. Spivak,2015-12-02T18:34:35Z,"Open dynamical systems are mathematical models of machines that take input, change their internal state, and produce output. For example, one may model anything from neurons to robots in this way. Several open dynamical systems can be arranged in series, in parallel, and with feedback to form a new dynamical system---this is called compositionality---and the process can be repeated in a fractal-like manner to form more complex systems of systems. One issue is that as larger systems are created, their state space grows exponentially.   In this paper a technique for calculating the steady states of an interconnected system of systems, in terms of the steady states of its component dynamical systems, is provided. These are organized into ""steady state matrices"" which generalize bifurcation diagrams. It is shown that the compositionality structure of dynamical systems fits with the familiar monoidal structure for the steady state matrices, where serial, parallel, and feedback composition of matrices correspond to multiplication, Kronecker product, and partial trace operations. The steady state matrices of dynamical systems respect this compositionality structure, exponentially reducing the complexity involved in studying the steady states of composite dynamical systems.",http://arxiv.org/abs/1512.00802v2
Data-driven Identification of Nonlinear Power System Dynamics Using   Output-only Measurements,"Pranav Sharma, Venkataramana Ajjarapu, Umesh Vaidya",2021-10-04T14:13:18Z,"In this paper, we propose a novel approach for the data-driven characterization of power system dynamics. The developed method of Extended Subspace Identification (ESI) is suitable for systems with output measurements when all the dynamics states are not observable. It is particularly applicable for power systems dynamic identification using Phasor Measurement Units (PMUs) measurements. As in the case of power systems, it is often expensive or impossible to measure all the internal dynamic states of system components such as generators, controllers and loads. PMU measurements capture voltages, currents, power injection and frequencies, which can be considered as the outputs of system dynamics. The ESI method is suitable for system identification, capturing nonlinear modes, computing participation factor of output measurements in system modes and identifying system parameters such as system inertia. The proposed method is suitable for measurements with a noise similar to realistic system measurements. The developed method addresses some of the known deficiencies of existing data-driven dynamic system characterization methods. The approach is validated for multiple network models and dynamic event scenarios with synthetic PMU measurements.",http://arxiv.org/abs/2110.01469v1
